iter	Logloss
0	0.6806843042
1	0.6701415745
2	0.6609590451
3	0.6531193812
4	0.6464901814
5	0.6407327714
6	0.6356756039
7	0.6313859913
8	0.6277542437
9	0.624520532
10	0.6216960738
11	0.6192542476
12	0.6171741349
13	0.6153293072
14	0.613734902
15	0.6122767988
16	0.611058369
17	0.6099120884
18	0.6089553499
19	0.6080437174
20	0.6073241328
21	0.6065884772
22	0.6060616767
23	0.6054885653
24	0.6049770781
25	0.6045106292
26	0.6040623616
27	0.6036651922
28	0.6033724684
29	0.6030746337
30	0.6027260012
31	0.6024030171
32	0.6021611839
33	0.6018620643
34	0.6016300416
35	0.6014204775
36	0.6011953446
37	0.6009923661
38	0.6006623528
39	0.600372278
40	0.6001768403
41	0.6000059511
42	0.5998431004
43	0.5997133419
44	0.5995353903
45	0.5992943039
46	0.599175553
47	0.5990422748
48	0.5989197391
49	0.5987979441
50	0.5986668432
51	0.5985314974
52	0.5982724875
53	0.5981805242
54	0.5980733173
55	0.5979686509
56	0.5978252891
57	0.5977227054
58	0.5976244579
59	0.5975034226
60	0.5973707167
61	0.5971773757
62	0.5971021501
63	0.5970441164
64	0.5969803131
65	0.5968623406
66	0.5968065181
67	0.5966260117
68	0.596471376
69	0.5964121506
70	0.596331464
71	0.5962776093
72	0.5962256647
73	0.5961840555
74	0.5961147294
75	0.5959824971
76	0.5959278597
77	0.5958901431
78	0.595740292
79	0.5956927132
80	0.5956479806
81	0.5956017764
82	0.5955570572
83	0.5954635048
84	0.5952287665
85	0.5951753955
86	0.5950298422
87	0.5949784269
88	0.5948525198
89	0.5947657418
90	0.5946454311
91	0.5946131151
92	0.5945817475
93	0.5945418399
94	0.5945122787
95	0.5944353374
96	0.5943521979
97	0.5942966112
98	0.5942723578
99	0.5942210978
100	0.5942008957
101	0.5940976173
102	0.593944933
103	0.5938971507
104	0.5938164265
105	0.593749753
106	0.5936411296
107	0.593613726
108	0.5935889293
109	0.5935651663
110	0.5935232397
111	0.5934960011
112	0.5934641299
113	0.5934413092
114	0.5933352034
115	0.5933149207
116	0.5932927082
117	0.59324718
118	0.5930859964
119	0.593067175
120	0.5930279681
121	0.5929595795
122	0.5928802172
123	0.5928569618
124	0.5926671543
125	0.5925984989
126	0.5925758184
127	0.5925186172
128	0.5924664283
129	0.5924211285
130	0.5922480429
131	0.5922187167
132	0.5921947044
133	0.5921756591
134	0.5921623576
135	0.5921185354
136	0.5920997981
137	0.5920043115
138	0.5919474164
139	0.5918852435
140	0.5918546484
141	0.5918350021
142	0.5917745446
143	0.5916994675
144	0.5915656744
145	0.5915434661
146	0.5915220425
147	0.5914680093
148	0.5914475045
149	0.5914251738
150	0.591403785
