iter	Passed	Remaining
0	93	65477
1	127	44523
2	160	37345
3	193	33664
4	225	31355
5	258	29922
6	289	28657
7	321	27794
8	352	27091
9	383	26484
10	416	26115
11	450	25809
12	482	25504
13	514	25210
14	546	24950
15	578	24720
16	611	24568
17	666	25266
18	698	25030
19	727	24724
20	755	24430
21	784	24179
22	816	24021
23	848	23907
24	879	23747
25	910	23600
26	942	23481
27	970	23296
28	996	23064
29	1024	22890
30	1050	22678
31	1078	22507
32	1105	22349
33	1134	22214
34	1162	22078
35	1189	21945
36	1217	21815
37	1242	21651
38	1271	21548
39	1299	21449
40	1326	21321
41	1354	21221
42	1381	21111
43	1409	21020
44	1437	20920
45	1464	20823
46	1491	20724
47	1519	20635
48	1546	20548
49	1575	20483
50	1601	20373
51	1629	20303
52	1659	20253
53	1685	20163
54	1711	20067
55	1736	19974
56	1764	19906
57	1791	19833
58	1817	19750
59	1845	19680
60	1873	19628
61	1902	19574
62	1929	19509
63	1955	19432
64	1983	19372
65	2008	19295
66	2035	19235
67	2065	19201
68	2092	19137
69	2118	19067
70	2144	18998
71	2171	18939
72	2197	18874
73	2222	18803
74	2249	18746
75	2278	18707
76	2304	18648
77	2330	18583
78	2356	18527
79	2385	18488
80	2412	18436
81	2438	18380
82	2465	18325
83	2491	18273
84	2520	18234
85	2545	18177
86	2571	18121
87	2598	18072
88	2627	18038
89	2654	17989
90	2682	17954
91	2710	17915
92	2738	17873
93	2765	17828
94	2791	17779
95	2819	17739
96	2847	17702
97	2875	17665
98	2902	17620
99	2931	17589
100	2958	17548
101	2984	17498
102	3012	17457
103	3040	17423
104	3067	17380
105	3094	17339
106	3122	17304
107	3148	17260
108	3175	17218
109	3201	17173
110	3228	17131
111	3255	17090
112	3282	17049
113	3308	17004
114	3333	16955
115	3359	16913
116	3387	16878
117	3413	16834
118	3442	16809
119	3469	16769
120	3498	16740
121	3525	16702
122	3550	16654
123	3578	16620
124	3606	16588
125	3633	16553
126	3659	16511
127	3684	16463
128	3708	16416
129	3734	16374
130	3766	16359
131	3794	16329
132	3823	16301
133	3851	16267
134	3877	16229
135	3903	16189
136	3928	16144
137	3957	16117
138	3986	16088
139	4013	16054
140	4041	16023
141	4068	15988
142	4095	15951
143	4124	15925
144	4152	15895
145	4179	15858
146	4206	15823
147	4232	15787
148	4260	15754
149	4287	15719
150	4312	15679
151	4340	15650
152	4367	15613
153	4395	15582
154	4423	15553
155	4448	15513
156	4477	15485
157	4503	15447
158	4529	15412
159	4556	15379
160	4585	15350
